analyst,player,position,team,overall_rank,position_rank,tier,source_url,pulled_date
Heath Cummings,Josh Allen,QB,BUF,,,1,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Lamar Jackson,QB,BAL,,,2,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Drake Maye,QB,NE,,,2,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Jayden Daniels,QB,WAS,,,2,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Joe Burrow,QB,CIN,,,2,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Jalen Hurts,QB,PHI,,,2,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Dak Prescott,QB,DAL,,,3,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Brock Purdy,QB,SF,,,3,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Jared Goff,QB,DET,,,3,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Trevor Lawrence,QB,JAC,,,4,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Justin Herbert,QB,LAC,,,4,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Jaxson Dart,QB,NYG,,,4,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Caleb Williams,QB,CHI,,,4,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Tyler Shough,QB,NO,,,4,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Matthew Stafford,QB,LAR,,,4,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Bo Nix,QB,DEN,,,5,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Jordan Love,QB,GB,,,5,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Malik Willis,QB,MIA,,,5,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Kyler Murray,QB,MIN,,,5,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Baker Mayfield,QB,TB,,,5,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Patrick Mahomes,QB,KC,,,5,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,C.J. Stroud,QB,HOU,,,6,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Daniel Jones,QB,IND,,,6,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Sam Darnold,QB,SEA,,,6,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Cam Ward,QB,TEN,,,6,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Tua Tagovailoa,QB,ATL,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Jacoby Brissett,QB,ARI,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Aaron Rodgers,QB,PIT,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Fernando Mendoza,QB,LV,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Bryce Young,QB,CAR,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Deshaun Watson,QB,CLE,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Geno Smith,QB,NYJ,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Shedeur Sanders,QB,CLE,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Kirk Cousins,QB,LV,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Michael Penix Jr.,QB,ATL,,,7,https://www.cbssports.com/fantasy/football/news/heath-cummings-2026-fantasy-football-quarterback-tiers-3-0/,2026-09-05
Heath Cummings,Jahmyr Gibbs,RB,DET,,,1,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Bijan Robinson,RB,ATL,,,1,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Jonathan Taylor,RB,IND,,,2,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Christian McCaffrey,RB,SF,,,2,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,De'Von Achane,RB,MIA,,,3,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,James Cook,RB,BUF,,,3,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Chase Brown,RB,CIN,,,3,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Derrick Henry,RB,TEN,,,4,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Saquon Barkley,RB,PHI,,,4,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Kenneth Walker III,RB,KC,,,4,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Omarion Hampton,RB,LAC,,,4,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Travis Etienne,RB,JAC,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Breece Hall,RB,NYJ,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Ashton Jeanty,RB,LV,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Kyren Williams,RB,LAR,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,D'Andre Swift,RB,CHI,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Quinshon Judkins,RB,NYG,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Javonte Williams,RB,DEN,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Marshawn Lloyd,RB,LV,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Rhamondre Stevenson,RB,NE,,,5,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
Heath Cummings,Bucky Irving,RB,TB,,,6,https://www.cbssports.com/fantasy/football/news/fantasy-football-running-back-projections-tiers-rankings/,2026-09-05
