analyst,cbs_id,player_name_abbrev,position,bye_week,overall_rank,auction_value_dollar,source_url,pulled_date
CBS Consensus,3162723,J. Gibbs,RB,6,1,35,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3168163,B. Robinson,RB,11,2,33,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2966320,J. Chase,WR,6,3,32,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3121687,P. Nacua,WR,11,4,29,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3162959,J. Smith-Njigba,WR,11,5,29,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2967690,A. St. Brown,WR,6,6,28,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2866395,J. Taylor,RB,13,7,29,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2136743,C. McCaffrey,RB,8,8,25,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2975698,J. Cook,RB,7,9,23,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2965160,C. Brown,RB,6,10,23,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2865251,C. Lamb,WR,14,11,25,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3171161,D. Achane,RB,6,12,23,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,3121372,K. Walker III,RB,5,13,20,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,28908905,O. Hampton,RB,7,14,19,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
CBS Consensus,2871343,J. Jefferson,WR,6,15,22,https://www.cbssports.com/fantasy/football/rankings/ppr/top200/,2026-09-05
