format_name,stat_name,points_per
standard,passing_yards,0.04
standard,passing_tds,4
standard,passing_interceptions,-2
standard,passing_2pt_conversions,2
standard,rushing_yards,0.1
standard,rushing_tds,6
standard,rushing_2pt_conversions,2
standard,rushing_fumbles_lost,-2
standard,receiving_yards,0.1
standard,receiving_tds,6
standard,receiving_2pt_conversions,2
standard,receiving_fumbles_lost,-2
half_ppr,passing_yards,0.04
half_ppr,passing_tds,4
half_ppr,passing_interceptions,-2
half_ppr,passing_2pt_conversions,2
half_ppr,rushing_yards,0.1
half_ppr,rushing_tds,6
half_ppr,rushing_2pt_conversions,2
half_ppr,rushing_fumbles_lost,-2
half_ppr,receptions,0.5
half_ppr,receiving_yards,0.1
half_ppr,receiving_tds,6
half_ppr,receiving_2pt_conversions,2
half_ppr,receiving_fumbles_lost,-2
ppr,passing_yards,0.04
ppr,passing_tds,4
ppr,passing_interceptions,-2
ppr,passing_2pt_conversions,2
ppr,rushing_yards,0.1
ppr,rushing_tds,6
ppr,rushing_2pt_conversions,2
ppr,rushing_fumbles_lost,-2
ppr,receptions,1
ppr,receiving_yards,0.1
ppr,receiving_tds,6
ppr,receiving_2pt_conversions,2
ppr,receiving_fumbles_lost,-2
ppfd,passing_yards,0.04
ppfd,passing_tds,4
ppfd,passing_interceptions,-2
ppfd,passing_2pt_conversions,2
ppfd,rushing_yards,0.1
ppfd,rushing_tds,6
ppfd,rushing_2pt_conversions,2
ppfd,rushing_fumbles_lost,-2
ppfd,rushing_first_downs,1
ppfd,receiving_yards,0.1
ppfd,receiving_tds,6
ppfd,receiving_2pt_conversions,2
ppfd,receiving_fumbles_lost,-2
ppfd,receiving_first_downs,1
boc,passing_yards,0.04
boc,passing_tds,4
boc,passing_interceptions,-2
boc,passing_2pt_conversions,2
boc,sacks_suffered,-1
boc,rushing_yards,0.1
boc,rushing_tds,6
boc,rushing_2pt_conversions,2
boc,rushing_fumbles_lost,-2
boc,rushing_first_downs,1
boc,receiving_yards,0.1
boc,receiving_tds,6
boc,receiving_2pt_conversions,2
boc,receiving_fumbles_lost,-2
boc,receiving_first_downs,1
