player_name,position,pick_no,drafter,source_url,pulled_date,notes
Josh Allen,QB,1,Meron Berkson,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Lamar Jackson,QB,2,Jack Capotorto,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jahmyr Gibbs,RB,3,Adam Aizer,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Bijan Robinson,RB,4,Dan Schneier,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Puka Nacua,WR,5,Robert Thomas,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Ja'Marr Chase,WR,6,Jamey Eisenberg,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Drake Maye,QB,7,R.J. White,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Joe Burrow,QB,8,Jake Grogins,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Amon-Ra St. Brown,WR,9,Todd Fuhrman,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jaxon Smith-Njigba,WR,10,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Jonathan Taylor,RB,11,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
James Cook,RB,12,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
CeeDee Lamb,WR,13,Production Squad FC,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Christian McCaffrey,RB,14,Heath Cummings,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
Dak Prescott,QB,15,Tommy Tran,https://www.cbssports.com/fantasy/football/news/2026-fantasy-football-12-team-superflex-mock/,2026-09-06,
